Data;Retornos
26/04/2015;-0,013853
27/04/2015;-0,001729
28/04/2015;0,044891
29/04/2015;-0,010917
30/04/2015;0,009092
01/05/2015;0,019566
02/05/2015;-0,004259
03/05/2015;-0,013269
04/05/2015;-0,024859
05/05/2015;0,032926
06/05/2015;0,024967
07/05/2015;-0,009647
08/05/2015;-0,005983
09/05/2015;0,00768
10/05/2015;-0,000952
11/05/2015;-0,02176
12/05/2015;0,002197
13/05/2015;0,001266
14/05/2015;-0,004098
15/05/2015;0,000296
16/05/2015;-0,01561
17/05/2015;-0,002669
18/05/2015;0,008327
19/05/2015;0,006051
20/05/2015;0,020978
21/05/2015;-0,005967
22/05/2015;0,008501
23/05/2015;-0,014925
24/05/2015;0,00181
25/05/2015;-0,002315
26/05/2015;0,000126
27/05/2015;-0,001223
28/05/2015;-0,016204
29/05/2015;-0,014599
30/05/2015;-0,029584
31/05/2015;0,011585
01/06/2015;-0,000665
02/06/2015;-0,006091
03/06/2015;0,004761
04/06/2015;-0,002444
05/06/2015;-0,005667
06/06/2015;0,022565
07/06/2015;0,004322
08/06/2015;-0,00336
09/06/2015;0,004753
10/06/2015;0,00252
11/06/2015;0,008727
12/06/2015;0,005448
13/06/2015;0,013808
14/06/2015;0,052681
15/06/2015;-0,009815
16/06/2015;0,004276
17/06/2015;-0,0175
18/06/2015;0,003476
19/06/2015;-0,003599
20/06/2015;0,013671
21/06/2015;-0,015065
22/06/2015;-0,013215
23/06/2015;0,00828
24/06/2015;0,001607
25/06/2015;0,031521
26/06/2015;-0,007406
27/06/2015;0,031988
28/06/2015;0,027444
29/06/2015;-0,024918
30/06/2015;-0,010693
01/07/2015;0,002038
02/07/2015;0,019964
03/07/2015;0,036146
04/07/2015;-0,003932
05/07/2015;-0,010723
06/07/2015;0,009087
07/07/2015;0,001859
08/07/2015;0,052404
09/07/2015;0,029016
10/07/2015;0,06134
11/07/2015;-0,066904
12/07/2015;-0,011744
13/07/2015;-0,012413
14/07/2015;-0,024394
15/07/2015;0,010895
16/07/2015;-0,020121
17/07/2015;-0,00318
18/07/2015;0,016338
19/07/2015;-0,009371
20/07/2015;0,004968
21/07/2015;-0,003406
22/07/2015;0,045584
23/07/2015;0,001282
24/07/2015;0,010439
25/07/2015;0,004241
26/07/2015;0,002352
27/07/2015;-0,018315
28/07/2015;-0,004692
29/07/2015;-0,011529
30/07/2015;-0,011556
31/07/2015;0,003168
01/08/2015;0,000782
02/08/2015;0,009613
03/08/2015;-0,009116
04/08/2015;-0,013293
05/08/2015;-0,000396
06/08/2015;-0,071943
07/08/2015;0,020174
08/08/2015;-0,002163
09/08/2015;0,021529
10/08/2015;-0,005105
11/08/2015;-0,015892
12/08/2015;0,006017
13/08/2015;-0,017163
14/08/2015;-0,013137
15/08/2015;0,000039
16/08/2015;-0,041328
17/08/2015;-0,087719
18/08/2015;0,037603
19/08/2015;-0,009678
20/08/2015;-0,012383
21/08/2015;-0,012229
22/08/2015;-0,069954
23/08/2015;0,042049
24/08/2015;0,020024
25/08/2015;-0,010007
26/08/2015;0,039224
27/08/2015;-0,013648
28/08/2015;-0,000438
29/08/2015;0,004674
30/08/2015;-0,01003
31/08/2015;0,006362
01/09/2015;-0,010685
