Date;Open;High;Low;Close;Adj Close;Open;High;Low;Close;Adj Close;Volume;;Retorno de i;
08/02/2018;7593,779785;8643,94043;7590,47998;8260,69043;8260,69043;7.593.779.785;8.643.940.430;7.590.479.980;8.260.690.430;8.260.690.430;1594673973;;0,05145;
09/02/2018;8259,259766;8743,200195;7775,359863;8696,830078;8696,830078;8.259.259.766;8.743.200.195;7.775.359.863;8.696.830.078;8.696.830.078;1348072086;;-0,014774;
10/02/2018;8696,830078;9081,490234;8176,25;8569,290039;8569,290039;8.696.830.078;9.081.490.234;8.176.250.000;8.569.290.039;8.569.290.039;1348923336;;-0,058223;
11/02/2018;8569,320313;8573,349609;7862,310059;8084,609863;8084,609863;8.569.320.313;8.573.349.609;7.862.310.059;8.084.609.863;8.084.609.863;1013771945;;0,097354;
12/02/2018;8084,609863;8997,339844;8084,410156;8911,269531;8911,269531;8.084.609.863;8.997.339.844;8.084.410.156;8.911.269.531;8.911.269.531;1085921871;;-0,042007;
13/02/2018;8911,169922;8955,150391;8379,349609;8544,69043;8544,69043;8.911.169.922;8.955.150.391;8.379.349.609;8.544.690.430;8.544.690.430;853320352;;0,104469;
14/02/2018;8544,69043;9508,219727;8542,980469;9485,639648;9485,639648;8.544.690.430;9.508.219.727;8.542.980.469;9.485.639.648;9.485.639.648;1220863360;;0,056175;
15/02/2018;9485,639648;10223,58008;9363,379883;10033,75;10033,75;9.485.639.648;10.223.580.078;9.363.379.883;10.033.750.000;10.033.750.000;1666668487;;0,015328;
16/02/2018;10033,75;10303,13965;9720,379883;10188,73047;10188,73047;10.033.750.000;10.303.139.648;9.720.379.883;10.188.730.469;10.188.730.469;1061827697;;0,085411;
17/02/2018;10188,73047;11119,4502;10074,07031;11097,20996;11097,20996;10.188.730.469;11.119.450.195;10.074.070.313;11.097.209.961;11.097.209.961;1327921168;;-0,063233;
18/02/2018;11097,20996;11288,33984;10161,00977;10417,23047;10417,23047;11.097.209.961;11.288.339.844;10.161.009.766;10.417.230.469;10.417.230.469;1659704217;;0,070869;
19/02/2018;10418,12012;11265,95996;10336,32031;11182,28027;11182,28027;10.418.120.117;11.265.959.961;10.336.320.313;11.182.280.273;11.182.280.273;1186535653;;0,006609;
20/02/2018;11182,28027;11802,23047;11130,9502;11256,42969;11256,42969;11.182.280.273;11.802.230.469;11.130.950.195;11.256.429.688;11.256.429.688;1640343867;;-0,071312;
21/02/2018;11256,78027;11295,58008;10256,20996;10481,66016;10481,66016;11.256.780.273;11.295.580.078;10.256.209.961;10.481.660.156;10.481.660.156;1982721124;;-0,062363;
22/02/2018;10481,66016;10941,57031;9757,19043;9847,959961;9847,959961;10.481.660.156;10.941.570.313;9.757.190.430;9.847.959.961;9.847.959.961;1795951829;;0,03272;
23/02/2018;9847,959961;10420,66992;9604;10175,50977;10175,50977;9.847.959.961;10.420.669.922;9.604.000.000;10.175.509.766;10.175.509.766;1399448203;;-0,047267;
24/02/2018;10175,50977;10528;9396,540039;9705,730469;9705,730469;10.175.509.766;10.528.000.000;9.396.540.039;9.705.730.469;9.705.730.469;1244484468;;-0,009901;
25/02/2018;9705,730469;9873,790039;9329,44043;9610,110352;9610,110352;9.705.730.469;9.873.790.039;9.329.440.430;9.610.110.352;9.610.110.352;793093192;;0,071898;
26/02/2018;9610,110352;10457,50977;9411,820313;10326,5;10326,5;9.610.110.352;10.457.509.766;9.411.820.313;10.326.500.000;10.326.500.000;1181729273;;0,025646;
27/02/2018;10326,5;10879,37988;10154,24023;10594,75977;10594,75977;10.326.500.000;10.879.379.883;10.154.240.234;10.594.759.766;10.594.759.766;1060840699;;-0,024877;
28/02/2018;10594,75977;11067,75977;10303,13965;10334,44043;10334,44043;10.594.759.766;11.067.759.766;10.303.139.648;10.334.440.430;10.334.440.430;1126074675;;0,055972;
01/03/2018;10334,44043;11090,29981;10247,55957;10929,37012;10929,37012;10.334.440.430;11.090.299.805;10.247.559.570;10.929.370.117;10.929.370.117;952472120;;0,010354;
02/03/2018;10929,37012;11191,94043;10801,4502;11043,12012;11043,12012;10.929.370.117;11.191.940.430;10.801.450.195;11.043.120.117;11.043.120.117;852908489;;0,037523;
03/03/2018;11043,12012;11530,66016;11043,12012;11465,36035;11465,36035;11.043.120.117;11.530.660.156;11.043.120.117;11.465.360.352;11.465.360.352;812200126;;0,003401;
04/03/2018;11465,36035;11539,79004;11084,00977;11504,41992;11504,41992;11.465.360.352;11.539.790.039;11.084.009.766;11.504.419.922;11.504.419.922;690727335;;-0,005551;
05/03/2018;11503,94043;11694,15039;11431,54981;11440,73047;11440,73047;11.503.940.430;11.694.150.391;11.431.549.805;11.440.730.469;11.440.730.469;791471905;;-0,063628;
06/03/2018;11440,33008;11441,65039;10589,28027;10735,4502;10735,4502;11.440.330.078;11.441.650.391;10.589.280.273;10.735.450.195;10.735.450.195;1210081181;;-0,078136;
07/03/2018;10735,4502;10913,7002;9470,730469;9928,55957;9928,55957;10.735.450.195;10.913.700.195;9.470.730.469;9.928.559.570;9.928.559.570;1858869115;;-0,063605;
08/03/2018;9928,55957;10119,20996;9086,849609;9316,719727;9316,719727;9.928.559.570;10.119.209.961;9.086.849.609;9.316.719.727;9.316.719.727;1492236089;;-0,006889;
09/03/2018;9316,769531;9433,379883;8393,450195;9252,759766;9252,759766;9.316.769.531;9.433.379.883;8.393.450.195;9.252.759.766;9.252.759.766;2081621422;;-0,05048;
10/03/2018;9252,759766;9518,620117;8727,429688;8797,269531;8797,269531;9.252.759.766;9.518.620.117;8.727.429.688;8.797.269.531;8.797.269.531;1084925795;;0,081559;
11/03/2018;8797,269531;9735,639648;8484,320313;9544,839844;9544,839844;8.797.269.531;9.735.639.648;8.484.320.313;9.544.839.844;9.544.839.844;1374814644;;-0,043105;
12/03/2018;9543,980469;9907,410156;8796,519531;9142,150391;9142,150391;9.543.980.469;9.907.410.156;8.796.519.531;9.142.150.391;9.142.150.391;1435404200;;0,001964;
13/03/2018;9142,269531;9486,120117;8856,650391;9160,120117;9160,120117;9.142.269.531;9.486.120.117;8.856.650.391;9.160.120.117;9.160.120.117;1228556284;;-0,108569;
14/03/2018;9160,120117;9360,660156;7966,939941;8217,700195;8217,700195;9.160.120.117;9.360.660.156;7.966.939.941;8.217.700.195;8.217.700.195;1385572511;;0,006152;
15/03/2018;8216,219727;8432,120117;7698,470215;8268,410156;8268,410156;8.216.219.727;8.432.120.117;7.698.470.215;8.268.410.156;8.268.410.156;1519850464;;0,001791;
16/03/2018;8267,950195;8616,629883;7924,109863;8283,230469;8283,230469;8.267.950.195;8.616.629.883;7.924.109.863;8.283.230.469;8.283.230.469;1082790136;;-0,049467;
17/03/2018;8283,230469;8360,639648;7765,410156;7883,450195;7883,450195;8.283.230.469;8.360.639.648;7.765.410.156;7.883.450.195;7.883.450.195;901939422;;0,041245;
18/03/2018;7882,669922;8299,860352;7318,459961;8215,400391;8215,400391;7.882.669.922;8.299.860.352;7.318.459.961;8.215.400.391;8.215.400.391;1535519444;;0,048439;
19/03/2018;8215,5;8725,599609;8129,660156;8623,139648;8623,139648;8.215.500.000;8.725.599.609;8.129.660.156;8.623.139.648;8.623.139.648;1447812723;;0,033926;
20/03/2018;8623,139648;9056,230469;8339,799805;8920,709961;8920,709961;8.623.139.648;9.056.230.469;8.339.799.805;8.920.709.961;8.920.709.961;1150462439;;-0,00105;
21/03/2018;8920,530273;9184,509766;8778,69043;8911,349609;8911,349609;8.920.530.273;9.184.509.766;8.778.690.430;8.911.349.609;8.911.349.609;991376396;;-0,021135;
22/03/2018;8911,370117;9107;8500,879883;8724,980469;8724,980469;8.911.370.117;9.107.000.000;8.500.879.883;8.724.980.469;8.724.980.469;1023286566;;0,023764;
23/03/2018;8724,980469;8935,879883;8307,580078;8934,799805;8934,799805;8.724.980.469;8.935.879.883;8.307.580.078;8.934.799.805;8.934.799.805;939997284;;-0,044249;
24/03/2018;8935,509766;9036,230469;8515,530273;8548,05957;8548,05957;8.935.509.766;9.036.230.469;8.515.530.273;8.548.059.570;8.548.059.570;827663165;;-0,008839;
25/03/2018;8548,389648;8690,360352;8395,849609;8472,839844;8472,839844;8.548.389.648;8.690.360.352;8.395.849.609;8.472.839.844;8.472.839.844;657643520;;-0,038578;
25/03/2018;8472,55957;8521,040039;7869,27002;8152,200195;8152,200195;8.472.559.570;8.521.040.039;7.869.270.020;8.152.200.195;8.152.200.195;1079038734;;-0,043078;
26/03/2018;8152,180176;8226,240234;7752,299805;7808,47998;7808,47998;8.152.180.176;8.226.240.234;7.752.299.805;7.808.479.980;7.808.479.980;930754990;;0,019191;
27/03/2018;7808,419922;8117,790039;7752,600098;7959,779785;7959,779785;7.808.419.922;8.117.790.039;7.752.600.098;7.959.779.785;7.959.779.785;657712114;;-0,113375;
28/03/2018;7959,779785;7983,77002;6927,109863;7106,620117;7106,620117;7.959.779.785;7.983.770.020;6.927.109.863;7.106.620.117;7.106.620.117;1379180030;;-0,036229;
29/03/2018;7106,620117;7280,27002;6595,259766;6853,759766;6853,759766;7.106.620.117;7.280.270.020;6.595.259.766;6.853.759.766;6.853.759.766;1584675343;;0,013047;
30/03/2018;6853,75;7228,399902;6806,339844;6943,77002;6943,77002;6.853.750.000;7.228.399.902;6.806.339.844;6.943.770.020;6.943.770.020;915400590;;-0,015666;
31/03/2018;6943,77002;7056,220215;6463,540039;6835,839844;6835,839844;6.943.770.020;7.056.220.215;6.463.540.039;6.835.839.844;6.835.839.844;889887684;;0,034332;
01/04/2018;6835,580078;8218,660156;6792,299805;7074,600098;7074,600098;6.835.580.078;8.218.660.156;6.792.299.805;7.074.600.098;7.074.600.098;748861435;;0,049593;
02/04/2018;7074,649902;7528,970215;7039,879883;7434,299805;7434,299805;7.074.649.902;7.528.970.215;7.039.879.883;7.434.299.805;7.434.299.805;905326798;;-0,086905;
03/04/2018;7434,299805;7442,419922;6727,089844;6815,5;6815,5;7.434.299.805;7.442.419.922;6.727.089.844;6.815.500.000;6.815.500.000;877199782;;-0,003682;
04/04/2018;6815,5;6933,660156;6602,379883;6790,450195;6790,450195;6.815.500.000;6.933.660.156;6.602.379.883;6.790.450.195;6.790.450.195;777145174;;-0,02318;
05/04/2018;6790,450195;6869,529785;6526,669922;6634,859863;6634,859863;6.790.450.195;6.869.529.785;6.526.669.922;6.634.859.863;6.634.859.863;605651287;;0,041674;
06/04/2018;6634,859863;7083,850098;6624,470215;6917,200195;6917,200195;6.634.859.863;7.083.850.098;6.624.470.215;6.917.200.195;6.917.200.195;564883141;;0,019005;
07/04/2018;6917,200195;7132,029785;6911,02002;7049,919922;7049,919922;6.917.200.195;7.132.029.785;6.911.020.020;7.049.919.922;7.049.919.922;425825572;;-0,037635;
08/04/2018;7049,919922;7204,279785;6633,689941;6789,529785;6789,529785;7.049.919.922;7.204.279.785;6.633.689.941;6.789.529.785;6.789.529.785;901883664;;0,011938;
09/04/2018;6789,529785;6922,839844;6676,720215;6871,069824;6871,069824;6.789.529.785;6.922.839.844;6.676.720.215;6.871.069.824;6.871.069.824;424510977;;0,015318;
10/04/2018;6871,069824;6999,370117;6839,160156;6977,129883;6977,129883;6.871.069.824;6.999.370.117;6.839.160.156;6.977.129.883;6.977.129.883;450141340;;0,127729;
11/04/2018;6977,040039;8051,950195;6791,330078;7927,72998;7927,72998;6.977.040.039;8.051.950.195;6.791.330.078;7.927.729.980;7.927.729.980;1490759969;;-0,003617;
12/04/2018;7927,72998;8237,160156;7758,799805;7899,109863;7899,109863;7.927.729.980;8.237.160.156;7.758.799.805;7.899.109.863;7.899.109.863;1171435820;;0,015501;
13/04/2018;7898,740234;8195,339844;7841,189941;8022,509766;8022,509766;7.898.740.234;8.195.339.844;7.841.189.941;8.022.509.766;8.022.509.766;537286381;;0,043206;
14/04/2018;8022,509766;8437,030273;8021,040039;8376,730469;8376,730469;8.022.509.766;8.437.030.273;8.021.040.039;8.376.730.469;8.376.730.469;570527804;;-0,036094;
15/04/2018;8376,730469;8430,929688;7929,240234;8079,77002;8079,77002;8.376.730.469;8.430.929.688;7.929.240.234;8.079.770.020;8.079.770.020;713471956;;-0,019766;
16/04/2018;8079,77002;8187,600098;7858,120117;7921,629883;7921,629883;8.079.770.020;8.187.600.098;7.858.120.117;7.921.629.883;7.921.629.883;580880500;;0,033312;
17/04/2018;7921,649902;8246,570313;7908,919922;8189,959961;8189,959961;7.921.649.902;8.246.570.313;7.908.919.922;8.189.959.961;8.189.959.961;593500791;;0,013566;
18/04/2018;8189,919922;8321,009766;8136,419922;8301,820313;8301,820313;8.189.919.922;8.321.009.766;8.136.419.922;8.301.820.313;8.301.820.313;602099034;;0,066998;
19/04/2018;8301,820313;8945,139648;8243,490234;8877,080078;8877,080078;8.301.820.313;8.945.139.648;8.243.490.234;8.877.080.078;8.877.080.078;979994921;;0,006584;
20/04/2018;8877,150391;9047,820313;8631,179688;8935,719727;8935,719727;8.877.150.391;9.047.820.313;8.631.179.688;8.935.719.727;8.935.719.727;829073400;;-0,012654;
21/04/2018;8935,849609;9043,980469;8788,44043;8823,360352;8823,360352;8.935.849.609;9.043.980.469;8.788.440.430;8.823.360.352;8.823.360.352;610183093;;0,016288;
22/04/2018;8823,459961;9025,730469;8804,200195;8968,25;8968,25;8.823.459.961;9.025.730.469;8.804.200.195;8.968.250.000;8.968.250.000;553892335;;0,073865;
23/04/2018;8967,860352;9741,910156;8957,679688;9655,769531;9655,769531;8.967.860.352;9.741.910.156;8.957.679.688;9.655.769.531;9.655.769.531;1276464750;;-0,084473;
24/04/2018;9657,69043;9765,230469;8757,05957;8873,620117;8873,620117;9.657.690.430;9.765.230.469;8.757.059.570;8.873.620.117;8.873.620.117;1779806222;;0,045007;
25/04/2018;8873,570313;9315,129883;8669,379883;9282,120117;9282,120117;8.873.570.313;9.315.129.883;8.669.379.883;9.282.120.117;9.282.120.117;997427934;;-0,037726;
26/04/2018;9289,009766;9385,870117;8923,480469;8938,469727;8938,469727;9.289.009.766;9.385.870.117;8.923.480.469;8.938.469.727;8.938.469.727;758182407;;0,045169;
27/04/2018;8938,469727;9435,900391;8892,519531;9351,469727;9351,469727;8.938.469.727;9.435.900.391;8.892.519.531;9.351.469.727;9.351.469.727;774111704;;0,005925;
28/04/2018;9349,94043;9552,669922;9189,070313;9407,040039;9407,040039;9.349.940.430;9.552.669.922;9.189.070.313;9.407.040.039;9.407.040.039;640931911;;-0,017002;
29/04/2018;9407,349609;9459,80957;9133,599609;9248,450195;9248,450195;9.407.349.609;9.459.809.570;9.133.599.609;9.248.450.195;9.248.450.195;574099218;;-0,018681;
30/04/2018;9248,25;9251,660156;8851,099609;9077,280273;9077,280273;9.248.250.000;9.251.660.156;8.851.099.609;9.077.280.273;9.077.280.273;669555436;;0,016922;
01/05/2018;9077,280273;9271,620117;8993,820313;9232,19043;9232,19043;9.077.280.273;9.271.620.117;8.993.820.313;9.232.190.430;9.232.190.430;527488395;;0,054062;
02/05/2018;9232,19043;9817,19043;9172,280273;9745,040039;9745,040039;9.232.190.430;9.817.190.430;9.172.280.273;9.745.040.039;9.745.040.039;857646889;;-0,004673;
03/05/2018;9746,259766;9785,150391;9547,209961;9699,610352;9699,610352;9.746.259.766;9.785.150.391;9.547.209.961;9.699.610.352;9.699.610.352;663887678;;0,014969;
04/05/2018;9700,370117;9968,849609;9687,089844;9845,900391;9845,900391;9.700.370.117;9.968.849.609;9.687.089.844;9.845.900.391;9.845.900.391;679872376;;-0,020624;
05/05/2018;9846,44043;9936,959961;9441,929688;9644,919922;9644,919922;9.846.440.430;9.936.959.961;9.441.929.688;9.644.919.922;9.644.919.922;608650204;;-0,028085;
06/05/2018;9643,990234;9662,230469;9202,129883;9377,80957;9377,80957;9.643.990.234;9.662.230.469;9.202.129.883;9.377.809.570;9.377.809.570;692580062;;-0,019563;
07/05/2018;9377,080078;9472,089844;9063,070313;9196,129883;9196,129883;9.377.080.078;9.472.089.844;9.063.070.313;9.196.129.883;9.196.129.883;673924125;;0,013504;
08/05/2018;9196,129883;9373,459961;8987,269531;9321,160156;9321,160156;9.196.129.883;9.373.459.961;8.987.269.531;9.321.160.156;9.321.160.156;625495066;;-0,031489;
09/05/2018;9321,519531;9393,950195;9017,129883;9032,219727;9032,219727;9.321.519.531;9.393.950.195;9.017.129.883;9.032.219.727;9.032.219.727;629850604;;-0,07007;
10/05/2018;9032,219727;9032,269531;8363,5;8421;8421;9.032.219.727;9.032.269.531;8.363.500.000;8.421.000.000;8.421.000.000;1176888629;;0,007768;
11/05/2018;8420,820313;8653,799805;8225,969727;8486,669922;8486,669922;8.420.820.313;8.653.799.805;8.225.969.727;8.486.669.922;8.486.669.922;783972252;;0,025913;
12/05/2018;8488,070313;8773,959961;8350,910156;8709,459961;8709,459961;8.488.070.313;8.773.959.961;8.350.910.156;8.709.459.961;8.709.459.961;525395861;;-0,004207;
13/05/2018;8709,459961;8883;8312,719727;8672,900391;8672,900391;8.709.459.961;8.883.000.000;8.312.719.727;8.672.900.391;8.672.900.391;874543293;;-0,022474;
14/05/2018;8672,879883;8848,69043;8441,25;8480,160156;8480,160156;8.672.879.883;8.848.690.430;8.441.250.000;8.480.160.156;8.480.160.156;730739738;;-0,016093;
15/05/2018;8480,160156;8501,650391;8119,169922;8344,780273;8344,780273;8.480.160.156;8.501.650.391;8.119.169.922;8.344.780.273;8.344.780.273;789660713;;-0,033354;
16/05/2018;8342,69043;8476,450195;8015,77002;8071,040039;8071,040039;8.342.690.430;8.476.450.195;8.015.770.020;8.071.040.039;8.071.040.039;615539512;;0,021678;
17/05/2018;8071,040039;8280,450195;7940,350098;8247,910156;8247,910156;8.071.040.039;8.280.450.195;7.940.350.098;8.247.910.156;8.247.910.156;558167598;;0,000161;
18/05/2018;8247,910156;8397,269531;8160,799805;8249,240234;8249,240234;8.247.910.156;8.397.269.531;8.160.799.805;8.249.240.234;8.249.240.234;381458405;;0,03382;
19/05/2018;8249,240234;8591,450195;8181,459961;8533;8533;8.249.240.234;8.591.450.195;8.181.459.961;8.533.000.000;8.533.000.000;418898289;;-0,013373;
20/05/2018;8533,219727;8585,849609;8347,879883;8419,650391;8419,650391;8.533.219.727;8.585.849.609;8.347.879.883;8.419.650.391;8.419.650.391;463653636;;-0,052033;
21/05/2018;8419,669922;8428,599609;7962,430176;7992,75;7992,75;8.419.669.922;8.428.599.609;7.962.430.176;7.992.750.000;7.992.750.000;543342369;;-0,062863;
22/05/2018;7992,75;8031,629883;7460,660156;7505,77002;7505,77002;7.992.750.000;8.031.629.883;7.460.660.156;7.505.770.020;7.505.770.020;934151146;;0,010466;
23/05/2018;7505,77002;7729,47998;7283,77002;7584,740234;7584,740234;7.505.770.020;7.729.479.980;7.283.770.020;7.584.740.234;7.584.740.234;826278113;;-0,014526;
24/05/2018;7584,779785;7652,370117;7347,959961;7475,359863;7475,359863;7.584.779.785;7.652.370.117;7.347.959.961;7.475.359.863;7.475.359.863;634474356;;-0,016224;
25/05/2018;7475,359863;7626,689941;7314,709961;7355,060059;7355,060059;7.475.359.863;7.626.689.941;7.314.709.961;7.355.060.059;7.355.060.059;368322782;;0,000974;
26/05/2018;7355,060059;7420,069824;7256,669922;7362,22998;7362,22998;7.355.060.059;7.420.069.824;7.256.669.922;7.362.229.980;7.362.229.980;341348321;;-0,033612;
27/05/2018;7362,22998;7455,549805;7092,910156;7118,879883;7118,879883;7.362.229.980;7.455.549.805;7.092.910.156;7.118.879.883;7.118.879.883;526854342;;0,04878;
28/05/2018;7118,879883;7533,029785;7069,009766;7474,75;7474,75;7.118.879.883;7.533.029.785;7.069.009.766;7.474.750.000;7.474.750.000;634849312;;-0,010994;
29/05/2018;7474,75;7571,080078;7295,779785;7393,02002;7393,02002;7.474.750.000;7.571.080.078;7.295.779.785;7.393.020.020;7.393.020.020;505870974;;0,014653;
30/05/2018;7393,02002;7608,870117;7349,52002;7502,149902;7502,149902;7.393.020.020;7.608.870.117;7.349.520.020;7.502.149.902;7.502.149.902;458223966;;0,003778;
31/05/2018;7501,740234;7614,660156;7370,27002;7530,549805;7530,549805;7.501.740.234;7.614.660.156;7.370.270.020;7.530.549.805;7.530.549.805;458687659;;0,014856;
01/06/2018;7530,549805;7697,339844;7467,790039;7643,259766;7643,259766;7.530.549.805;7.697.339.844;7.467.790.039;7.643.259.766;7.643.259.766;362414878;;0,009958;
02/06/2018;7643,259766;7774,959961;7606,759766;7719,75;7719,75;7.643.259.766;7.774.959.961;7.606.759.766;7.719.750.000;7.719.750.000;332313005;;-0,028452;
03/06/2018;7719,72998;7760,72998;7469,209961;7503,200195;7503,200195;7.719.729.980;7.760.729.980;7.469.209.961;7.503.200.195;7.503.200.195;427448262;;0,01668;
04/06/2018;7503,319824;7672,700195;7394,970215;7629,399902;7629,399902;7.503.319.824;7.672.700.195;7.394.970.215;7.629.399.902;7.629.399.902;440337235;;0,004236;
05/06/2018;7629,399902;7701,350098;7504,97998;7661,790039;7661,790039;7.629.399.902;7.701.350.098;7.504.979.980;7.661.790.039;7.661.790.039;396116252;;0,004989;
06/06/2018;7661,790039;7755,919922;7651,129883;7700,109863;7700,109863;7.661.790.039;7.755.919.922;7.651.129.883;7.700.109.863;7.700.109.863;342475552;;-0,009472;
07/06/2018;7700,399902;7709,609863;7559,5;7627,52002;7627,52002;7.700.399.902;7.709.609.863;7.559.500.000;7.627.520.020;7.627.520.020;310119047;;-0,015036;
08/06/2018;7627,560059;7691,740234;7495,720215;7513,689941;7513,689941;7.627.560.059;7.691.740.234;7.495.720.215;7.513.689.941;7.513.689.941;218013881;;-0,103676;
09/06/2018;7513,759766;7514,040039;6661,97998;6773,720215;6773,720215;7.513.759.766;7.514.040.039;6.661.979.980;6.773.720.215;6.773.720.215;895514425;;0,016639;
10/06/2018;6773,720215;6913,850098;6652,890137;6887,370117;6887,370117;6.773.720.215;6.913.850.098;6.652.890.137;6.887.370.117;6.887.370.117;482788065;;-0,049165;
11/06/2018;6887,430176;6888,330078;6462,609863;6556,939941;6556,939941;6.887.430.176;6.888.330.078;6.462.609.863;6.556.939.941;6.556.939.941;509372466;;-0,03832;
12/06/2018;6556,939941;6623;6140,629883;6310,430176;6310,430176;6.556.939.941;6.623.000.000;6.140.629.883;6.310.430.176;6.310.430.176;797087281;;0,051399;
13/06/2018;6310,430176;6719,439941;6286,22998;6643,259766;6643,259766;6.310.430.176;6.719.439.941;6.286.229.980;6.643.259.766;6.643.259.766;620296377;;-0,037819;
14/06/2018;6643,629883;6667,22998;6380,689941;6396,709961;6396,709961;6.643.629.883;6.667.229.980;6.380.689.941;6.396.709.961;6.396.709.961;379228601;;0,016495;
15/06/2018;6396,709961;6569,149902;6345,990234;6503,100098;6503,100098;6.396.709.961;6.569.149.902;6.345.990.234;6.503.100.098;6.503.100.098;232802782;;-0,006993;
16/06/2018;6503,100098;6585,77002;6446,379883;6457,779785;6457,779785;6.503.100.098;6.585.770.020;6.446.379.883;6.457.779.785;6.457.779.785;224575526;;0,039031;
17/06/2018;6457,779785;6802,029785;6401,410156;6714,819824;6714,819824;6.457.779.785;6.802.029.785;6.401.410.156;6.714.819.824;6.714.819.824;430241689;;0,003933;
18/06/2018;6714,560059;6839,600098;6672,200195;6741,279785;6741,279785;6.714.560.059;6.839.600.098;6.672.200.195;6.741.279.785;6.741.279.785;370797057;;0,002961;
19/06/2018;6741,279785;6817,899902;6569,959961;6761,27002;6761,27002;6.741.279.785;6.817.899.902;6.569.959.961;6.761.270.020;6.761.270.020;400530201;;-0,006027;
20/06/2018;6761,27002;6790,080078;6687,660156;6720,640137;6720,640137;6.761.270.020;6.790.080.078;6.687.660.156;6.720.640.137;6.720.640.137;295690715;;-0,104882;
21/06/2018;6720,640137;6731,509766;5941,319824;6051,470215;6051,470215;6.720.640.137;6.731.509.766;5.941.319.824;6.051.470.215;6.051.470.215;862826624;;0,018837;
22/06/2018;6051,470215;6257,879883;6033,200195;6166,540039;6166,540039;6.051.470.215;6.257.879.883;6.033.200.195;6.166.540.039;6.166.540.039;350697378;;-0,001422;
23/06/2018;6166,359863;6254,02002;5782,129883;6157,779785;6157,779785;6.166.359.863;6.254.020.020;5.782.129.883;6.157.779.785;6.157.779.785;667479078;;0,01652;
24/06/2018;6157,779785;6344,450195;6095,25;6260,350098;6260,350098;6.157.779.785;6.344.450.195;6.095.250.000;6.260.350.098;6.260.350.098;492834172;;-0,027852;
25/06/2018;6260,399902;6286,359863;6067,490234;6088,390137;6088,390137;6.260.399.902;6.286.359.863;6.067.490.234;6.088.390.137;6.088.390.137;391396653;;0,008697;
26/06/2018;6092,259766;6192,109863;6021,689941;6141,569824;6141,569824;6.092.259.766;6.192.109.863;6.021.689.941;6.141.569.824;6.141.569.824;383457137;;-0,045008;
27/06/2018;6141,569824;6172,22998;5844,259766;5871,279785;5871,279785;6.141.569.824;6.172.229.980;5.844.259.766;5.871.279.785;5.871.279.785;385907044;;0,055089;
28/06/2018;5870,810059;6286,669922;5813,02002;6203,799805;6203,799805;5.870.810.059;6.286.669.922;5.813.020.020;6.203.799.805;6.203.799.805;554799001;;0,028849;
29/06/2018;6203,810059;6503,330078;6194,509766;6385,379883;6385,379883;6.203.810.059;6.503.330.078;6.194.509.766;6.385.379.883;6.385.379.883;419284677;;-0,007284;
